AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,FHRSID,Lat,Lon,LABusinessID,LACode,LAEmail,LAName,LAWebsite,NewRatingPending,PostCode,RatingDate,Rating,ConfidenceInManagement,Hygiene,Structural,ExtractDate
Base Coffee Cornwall Ltd,Unit 8D,Beehive Units,Cardrew Industrial Estate,@ Home,Other catering premises,7841,831073,50.244003,-5.220914,CP15_000572,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR15 1SS,11/4/2015,5,5,5,5,11/2/2016
The Attic,18A Fore Street,St Ives,St. Ives,18A,Restaurant/Cafe/Canteen,1,831075,50.213153,-5.480254,CP15_000917,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1AB,12/2/2015,5,5,5,5,11/2/2016
Sennen,Penzance,Cornwall,,190 Degrees West,Takeaway/sandwich shop,7844,547085,50.072486,-5.695025,CP11_000300,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 7AD,4/14/2016,5,5,5,5,11/2/2016
Fore Street Restaurant,2 Fore Street,Mousehole,Penzance,2 Fore Street,Restaurant/Cafe/Canteen,1,402579,50.083311,-5.539538,W1_10_10115_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 6PF,6/9/2016,5,5,5,5,11/2/2016
Lostwithiel Bakery,2 Quay Street,Lostwithiel,Cornwall,2 Quay Street,Restaurant/Cafe/Canteen,1,814959,50.406425,-4.668425,CP14_000730,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL22 0BS,10/28/2015,5,5,5,5,11/2/2016
,,,,3 Way Catering,Mobile caterer,7846,735030,,,CP15_000020,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,2/2/2015,5,5,5,5,11/2/2016
Five A Day Grocers,12 Trelowarren Street,Camborne,Cornwall,5 A Day,Retailers - other,4613,689184,50.214096,-5.298276,CP13_000190,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR14 8AA,8/4/2015,5,5,5,5,11/2/2016
7 Grove Place,Falmouth,Cornwall,,5 Degrees Below,Pub/bar/nightclub,7843,456191,50.151002,-5.064513,C1_PI_000051430,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 4AU,3/3/2015,5,5,5,5,11/2/2016
Five Degrees West,7 Grove Place,Falmouth,Cornwall,5 Degrees West,Pub/bar/nightclub,7843,438802,50.151002,-5.064513,C1_PI_000006931,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 4AU,3/3/2015,5,5,5,5,11/2/2016
St Ives,Cornwall,,,53 Fore Street,Restaurant/Cafe/Canteen,1,900520,50.21406,-5.480334,CP16_000376,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1HE,7/9/2016,5,5,5,5,11/2/2016
2 Tregenna Hill,St Ives,Cornwall,,54 Lemons,Restaurant/Cafe/Canteen,1,900530,50.211046,-5.480311,CP16_000389,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1SE,8/15/2016,5,5,5,5,11/2/2016
,,,,54 Lemons Kitchen,Other catering premises,7841,900531,,,CP16_000390,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,8/15/2016,5,5,5,5,11/2/2016
The Cook House,57 Fore Street,St Ives,Cornwall,57 Fore Street,Restaurant/Cafe/Canteen,1,750955,50.21406,-5.480334,CP15_000076,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1HE,4/9/2015,5,5,5,5,11/2/2016
RNAS Culdrose HMS Seahawk,Culdrose Road,Helston,Cornwall,81 Bun,Mobile caterer,7846,505031,50.081771,-5.257846,CP11_001019,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR12 7RH,8/12/2014,5,5,5,5,11/2/2016
37 Trelowarren Street,Camborne,Cornwall,,A & K Pastries,Retailers - other,4613,574001,50.214318,-5.298376,W2_00005904,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR14 8AD,4/8/2016,4,5,5,10,11/2/2016
11 Fore Street,Lostwithiel,Cornwall,,A B Meats,Retailers - other,4613,610903,50.40709,-4.670053,C2_236244,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL22 0BW,12/2/2015,4,10,5,5,11/2/2016
,,,,A Salt & Battery,Mobile caterer,7846,745609,,,CP14_000819,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,2/12/2015,5,5,5,5,11/2/2016
,,,,A Taste Of India,Other catering premises,7841,900467,,,CP16_000284,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,9/9/2016,5,,,,11/2/2016
,,,,A Thyme 4 Food - Home Caterer,Other catering premises,7841,831081,,,CP15_001023,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,12/3/2015,5,5,5,5,11/2/2016
